extroversion,visual_time,visual_N,textual_time,textual_N,N_objects,N_words,N_deviations
10,0.182171583175659,158,0.000328540802002,141,2,0,2
10,0.162007331848145,159,0.000302314758301,141,2,0,2
10,0.160284757614136,160,0.000345468521118,141,2,0,2
10,0.196534633636475,161,0.000303506851196,141,2,0,2
10,0.179372787475586,162,0.000318765640259,141,2,0,2
10,0.763531684875488,163,0.000353574752808,141,2,0,2
10,0.162492036819458,164,0.000224590301514,141,2,0,2
10,0.179414033889771,165,0.000310182571411,141,2,0,2
10,0.162050247192383,166,0.000376462936401,141,2,0,2
10,0.185949802398682,167,0.000841379165649,141,2,0,2
10,0.204992771148682,168,0.000317811965942,141,2,0,2
10,0.154158353805542,169,0.000396728515625,141,2,0,2
10,0.17453145980835,170,0.000310182571411,141,2,0,2
10,0.182519435882568,171,0.00037145614624,141,2,0,2
10,0.160357713699341,172,0.000899076461792,141,2,0,2
10,0.178999662399292,173,0.000368118286133,141,2,0,2
10,0.164555072784424,174,0.000327348709106,141,2,0,2
