frame,global_plan_position_x,global_plan_position_y,global_plan_orientation_z,global_plan_orientation_w,ID
map,-0.673610,-9.651317,0.940044,0.341052,42
map,-0.692898,-9.635411,0.937776,0.347242,42
map,-0.711545,-9.618760,0.931326,0.364186,42
map,-0.729629,-9.601499,0.927573,0.373642,42
map,-0.747584,-9.584102,0.923723,0.383061,42
map,-0.764951,-9.566119,0.919606,0.392841,42
map,-0.782151,-9.547976,0.915742,0.401766,42
map,-0.798806,-9.529331,0.910402,0.413725,42
map,-0.815033,-9.510313,0.906186,0.422878,42
map,-0.830922,-9.491013,0.902390,0.430920,42
map,-0.846462,-9.471429,0.899025,0.437898,42
map,-0.861746,-9.451645,0.895616,0.444828,42
map,-0.876673,-9.431591,0.892757,0.450539,42
map,-0.891447,-9.411423,0.890401,0.455176,42
map,-0.905954,-9.391063,0.889071,0.457770,42
map,-0.920492,-9.370724,0.888942,0.458020,42
map,-0.934976,-9.350348,0.888245,0.459370,42
map,-0.949390,-9.329921,0.887612,0.460592,42
map,-0.963761,-9.309465,0.888108,0.459635,42
map,-0.978263,-9.289101,0.887665,0.460491,42
map,-0.992556,-9.268589,0.887116,0.461547,42
map,-1.006960,-9.248157,0.886484,0.462760,42
map,-1.021141,-9.227567,0.883898,0.467679,42
map,-1.035087,-9.206819,0.882483,0.470345,42
map,-1.049018,-9.186060,0.880795,0.473497,42
map,-1.062667,-9.165114,0.880074,0.474837,42
map,-1.076471,-9.144271,0.878751,0.477281,42
map,-1.089886,-9.123175,0.874905,0.484294,42
map,-1.103017,-9.101901,0.873330,0.487129,42
map,-1.116157,-9.080632,0.872137,0.489261,42
map,-1.129079,-9.059231,0.869491,0.493949,42
map,-1.141757,-9.037685,0.867289,0.497805,42
map,-1.154298,-9.016057,0.865492,0.500922,42
map,-1.166665,-8.994330,0.864488,0.502654,42
map,-1.179031,-8.972604,0.863976,0.503533,42
map,-1.191310,-8.950827,0.862981,0.505236,42
map,-1.203505,-8.929003,0.862620,0.505852,42
map,-1.215722,-8.907191,0.862912,0.505354,42
map,-1.227967,-8.885395,0.862750,0.505630,42
map,-1.240156,-8.863567,0.862377,0.506266,42
map,-1.252336,-8.841736,0.862220,0.506534,42
map,-1.264498,-8.819893,0.861997,0.506914,42
map,-1.276640,-8.798040,0.861712,0.507398,42
map,-1.288753,-8.776171,0.861467,0.507813,42
map,-1.300853,-8.754293,0.861289,0.508116,42
map,-1.312934,-8.732407,0.861404,0.507920,42
map,-1.325054,-8.710541,0.861352,0.508009,42
map,-1.337127,-8.688649,0.861102,0.508432,42
map,-1.349204,-8.666759,0.861023,0.508566,42
map,-1.361263,-8.644861,0.861132,0.508382,42
