frame,plan_position_x,plan_position_y,plan_orientation_z,plan_orientation_w,ID
map,-4.310689,-7.416778,0.742593,0.669743,3
map,-4.313258,-7.391910,0.742561,0.669778,3
map,-4.315829,-7.367043,0.742511,0.669834,3
map,-4.318390,-7.342175,0.742441,0.669911,3
map,-4.320951,-7.317306,0.742357,0.670005,3
map,-4.323500,-7.292436,0.742295,0.670073,3
map,-4.326051,-7.267567,0.742316,0.670050,3
map,-4.328603,-7.242697,0.742383,0.669976,3
map,-4.331164,-7.217829,0.742442,0.669910,3
map,-4.333725,-7.192960,0.742490,0.669858,3
map,-4.336293,-7.168092,0.742529,0.669814,3
map,-4.338860,-7.143225,0.742558,0.669782,3
map,-4.341433,-7.118357,0.742578,0.669760,3
map,-4.344002,-7.093490,0.742587,0.669750,3
map,-4.346576,-7.068623,0.742588,0.669749,3
map,-4.349146,-7.043755,0.742578,0.669760,3
map,-4.351718,-7.018888,0.742559,0.669780,3
map,-4.354285,-6.994020,0.742531,0.669812,3
map,-4.356853,-6.969152,0.742494,0.669853,3
map,-4.359415,-6.944283,0.742447,0.669905,3
map,-4.361976,-6.919415,0.742392,0.669966,3
map,-4.364530,-6.894546,0.742328,0.670036,3
map,-4.367081,-6.869677,0.742256,0.670116,3
map,-4.369624,-6.844806,0.742176,0.670205,3
map,-4.372164,-6.819935,0.742088,0.670302,3
map,-4.374693,-6.795063,0.742037,0.670359,3
map,-4.377225,-6.770192,0.742031,0.670366,3
map,-4.379755,-6.745320,0.742026,0.670371,3
map,-4.382286,-6.720449,0.742018,0.670380,3
map,-4.384814,-6.695577,0.742005,0.670395,3
map,-4.387343,-6.670705,0.741987,0.670414,3
map,-4.389868,-6.645833,0.741964,0.670440,3
map,-4.392394,-6.620961,0.741938,0.670469,3
map,-4.394915,-6.596089,0.741906,0.670504,3
map,-4.397437,-6.571216,0.741870,0.670544,3
map,-4.399952,-6.546343,0.741828,0.670590,3
map,-4.402467,-6.521470,0.741783,0.670640,3
map,-4.404976,-6.496596,0.741733,0.670696,3
map,-4.407484,-6.471722,0.741677,0.670757,3
map,-4.409985,-6.446847,0.741617,0.670823,3
map,-4.412484,-6.421973,0.741552,0.670895,3
map,-4.414975,-6.397097,0.741483,0.670972,3
map,-4.417463,-6.372221,0.741410,0.671052,3
map,-4.419944,-6.347345,0.741332,0.671139,3
map,-4.422421,-6.322468,0.741249,0.671230,3
map,-4.424889,-6.297590,0.741192,0.671293,3
map,-4.427357,-6.272712,0.741166,0.671322,3
map,-4.429821,-6.247834,0.741138,0.671353,3
map,-4.432286,-6.222955,0.741107,0.671387,3
map,-4.434746,-6.198077,0.741074,0.671423,3
map,-4.437205,-6.173198,0.741039,0.671462,3
map,-4.439660,-6.148319,0.741000,0.671505,3
map,-4.442113,-6.123440,0.740959,0.671551,3
map,-4.444561,-6.098559,0.740915,0.671599,3
map,-4.447008,-6.073680,0.740869,0.671650,3
map,-4.449450,-6.048799,0.740819,0.671704,3
map,-4.451890,-6.023919,0.740767,0.671762,3
map,-4.454324,-5.999037,0.740712,0.671822,3
map,-4.456755,-5.974156,0.740654,0.671886,3
map,-4.459180,-5.949274,0.740593,0.671953,3
map,-4.461603,-5.924391,0.740531,0.672022,3
map,-4.464019,-5.899508,0.740464,0.672096,3
map,-4.466432,-5.874625,0.740395,0.672172,3
map,-4.468838,-5.849741,0.740324,0.672251,3
map,-4.471240,-5.824857,0.724985,0.688765,3
map,-4.471395,-5.799857,0.716957,0.697117,3
map,-4.472642,-5.774889,0.732158,0.681135,3
map,-4.475000,-5.750000,0.886846,0.462065,3
map,-4.525000,-5.700000,0.923880,0.382683,3
map,-4.575000,-5.650000,0.850651,0.525731,3
map,-4.575000,-5.600000,0.707107,0.707107,3
map,-4.575000,-5.550000,0.707107,0.707107,3
map,-4.575000,-5.500000,0.707107,0.707107,3
map,-4.575000,-5.450000,0.707107,0.707107,3
map,-4.575000,-5.400000,0.707107,0.707107,3
map,-4.575000,-5.350000,0.707107,0.707107,3
map,-4.575000,-5.300000,0.707107,0.707107,3
map,-4.575000,-5.250000,0.821888,0.569649,3
map,-4.604533,-5.221214,0.853839,0.520538,3
map,-4.602682,-5.196283,0.679947,0.733261,3
map,-4.600766,-5.171356,0.682289,0.731082,3
map,-4.599234,-5.146403,0.684837,0.728696,3
map,-4.597666,-5.121452,0.686240,0.727375,3
map,-4.596326,-5.096488,0.687733,0.725963,3
map,-4.594964,-5.071526,0.688682,0.725064,3
map,-4.593755,-5.046555,0.689655,0.724138,3
map,-4.592526,-5.021585,0.690262,0.723559,3
map,-4.591401,-4.996610,0.690874,0.722975,3
map,-4.590257,-4.971636,0.691244,0.722621,3
map,-4.589183,-4.946660,0.691611,0.722271,3
map,-4.588089,-4.921683,0.691815,0.722074,3
map,-4.587044,-4.896706,0.692013,0.721885,3
map,-4.585978,-4.871728,0.692098,0.721803,3
map,-4.584944,-4.846750,0.692175,0.721730,3
map,-4.583888,-4.821772,0.692168,0.721736,3
map,-4.582853,-4.796793,0.692154,0.721750,3
map,-4.581796,-4.771815,0.692075,0.721826,3
map,-4.580750,-4.746838,0.691988,0.721909,3
map,-4.579680,-4.721860,0.691854,0.722038,3
