extroversion,visual_time,visual_publish_time,visual_N,textual_time,textual_publish_time,textual_N,N_objects,N_words,N_deviations
10,0.14419150352478027,0.5160682201385498,57,0.0003094673156738281,4.792213439941406e-05,57,2,6,1
10,0.14539718627929688,0.5060133934020996,58,0.0005056858062744141,8.630752563476562e-05,58,2,6,1
10,0.22797250747680664,0.5540361404418945,59,0.00039696693420410156,4.792213439941406e-05,59,2,6,1
10,0.16411805152893066,0.5169172286987305,60,0.00029850006103515625,4.458427429199219e-05,60,2,6,1
10,0.1484992504119873,0.8662464618682861,61,0.0002777576446533203,3.2901763916015625e-05,61,2,6,1
10,0.1268160343170166,0.9548771381378174,62,0.00026226043701171875,3.147125244140625e-05,62,2,6,1
10,1.7435474395751953,1.445718765258789,63,0.0004868507385253906,4.315376281738281e-05,63,2,6,1
10,1.675025224685669,1.842125654220581,64,1.811981201171875e-05,4.792213439941406e-05,64,3,4,2
10,1.5012595653533936,0.6193289756774902,65,4.458427429199219e-05,0.00011682510375976562,65,3,4,2
10,0.20351338386535645,0.5358359813690186,66,1.71661376953125e-05,4.506111145019531e-05,66,3,4,2
10,0.22022509574890137,1.127079963684082,67,3.337860107421875e-05,5.793571472167969e-05,67,3,4,2
10,0.28299951553344727,0.5983066558837891,68,2.956390380859375e-05,7.605552673339844e-05,68,4,4,2
10,0.2721822261810303,0.7460033893585205,69,1.4781951904296875e-05,5.340576171875e-05,69,4,4,2
10,0.25278258323669434,0.5924406051635742,70,3.838539123535156e-05,0.00010967254638671875,70,4,4,2
10,0.2136080265045166,1.002307653427124,71,1.9788742065429688e-05,4.76837158203125e-05,71,4,4,2
10,0.2747640609741211,0.7797408103942871,72,2.6226043701171875e-05,7.2479248046875e-05,72,4,4,2
10,0.20872282981872559,0.7114651203155518,73,2.193450927734375e-05,5.555152893066406e-05,73,4,4,2
10,0.7333993911743164,0.6127078533172607,74,1.3828277587890625e-05,3.314018249511719e-05,74,4,4,2
10,0.25769948959350586,0.9554612636566162,75,0.00032401084899902344,4.124641418457031e-05,75,3,7,2
10,0.20888876914978027,0.5452685356140137,76,0.0002624988555908203,3.719329833984375e-05,76,2,6,2
10,0.30455708503723145,0.7178857326507568,77,0.0002396106719970703,3.314018249511719e-05,77,2,6,2
10,0.34661054611206055,0.6010243892669678,78,0.0003247261047363281,5.078315734863281e-05,78,2,6,2
10,0.2163536548614502,0.5757565498352051,79,0.00033020973205566406,5.650520324707031e-05,79,2,6,2
10,0.21335744857788086,0.7753326892852783,80,0.0003008842468261719,8.130073547363281e-05,80,2,6,2
10,0.22887516021728516,3.046170473098755,81,0.001706838607788086,0.00017547607421875,81,2,6,2
10,1.0625734329223633,3.8487255573272705,82,0.007399797439575195,0.0003058910369873047,82,3,7,2
10,1.21030592918396,3.624512195587158,83,0.0012447834014892578,0.0001518726348876953,83,3,7,2
10,1.1096155643463135,3.3801074028015137,84,0.006435871124267578,0.00022339820861816406,84,3,7,2
10,1.2544262409210205,4.690346717834473,85,0.002042055130004883,0.0032477378845214844,85,3,7,2
10,1.2221856117248535,3.6658246517181396,86,0.0009007453918457031,0.0001316070556640625,86,3,7,2
10,1.1782124042510986,3.265345335006714,87,0.001115560531616211,0.00014090538024902344,87,3,7,2
10,2.116741895675659,3.224301815032959,88,0.001325845718383789,0.00015163421630859375,88,3,7,2
10,1.0176172256469727,3.392585039138794,89,0.0022161006927490234,0.001255035400390625,89,3,7,2
10,1.348778247833252,4.7049336433410645,90,0.001119375228881836,0.00015926361083984375,90,2,6,2
10,1.045853853225708,3.124734401702881,91,0.003314495086669922,0.00019407272338867188,91,2,6,2
10,0.9547064304351807,3.3651888370513916,92,0.0014081001281738281,0.0001652240753173828,92,2,6,2
