frame,local_plan_position_x,local_plan_position_y,local_plan_orientation_z,local_plan_orientation_w,ID
odom,1.131667,-0.604695,0.408349,0.912826,10
odom,1.130879,-0.605481,0.347908,0.937529,10
odom,1.130030,-0.606154,0.286920,0.957955,10
odom,1.129150,-0.606707,0.225559,0.974229,10
odom,1.128272,-0.607136,0.164006,0.986459,10
odom,1.127426,-0.607446,0.102445,0.994739,10
odom,1.126639,-0.607651,0.041069,0.999156,10
odom,1.125933,-0.607768,-0.019930,0.999801,10
odom,1.125328,-0.607821,-0.080362,0.996766,10
odom,1.124835,-0.607836,-0.140041,0.990146,10
odom,1.124580,-0.607878,-0.208390,0.978046,10
odom,1.146198,-0.619779,-0.283792,0.958886,10
odom,1.182223,-0.647505,-0.357053,0.934084,10
odom,1.226479,-0.693787,-0.426385,0.904542,10
odom,1.272326,-0.758620,-0.490873,0.871231,10
odom,1.313970,-0.839859,-0.550215,0.835023,10
odom,1.347147,-0.934316,-0.604561,0.796559,10
odom,1.369088,-1.038641,-0.654317,0.756220,10
odom,1.378154,-1.150538,-0.700300,0.713849,10
odom,1.372908,-1.269516,-0.743540,0.668691,10
odom,1.352043,-1.391680,-0.783982,0.620783,10
odom,1.317184,-1.509420,-0.817553,0.575854,10
odom,1.272111,-1.622654,-0.837191,0.546910,10
odom,1.226279,-1.723215,-0.844839,0.535021,10
odom,1.183378,-1.814549,-0.843421,0.537253,10
odom,1.145290,-1.900113,-0.833785,0.552089,10
odom,1.113877,-1.981318,-0.815645,0.578552,10
odom,1.089703,-2.057531,-0.797943,0.602732,10
odom,1.070576,-2.129050,-0.788232,0.615378,10
odom,1.055562,-2.195498,-0.773721,0.633527,10
odom,1.044717,-2.255740,-0.760256,0.649623,10
odom,1.036552,-2.319524,-0.740537,0.672016,10

odom,1.133283,-0.602238,0.566964,0.823742,11
odom,1.132795,-0.603212,0.515460,0.856914,11
odom,1.132195,-0.604146,0.462090,0.886833,11
odom,1.131494,-0.605016,0.407045,0.913408,11
odom,1.130713,-0.605799,0.350560,0.936540,11
odom,1.129873,-0.606478,0.292875,0.956151,11
odom,1.129003,-0.607042,0.234233,0.972180,11
odom,1.128130,-0.607488,0.174880,0.984590,11
odom,1.127284,-0.607818,0.115060,0.993358,11
odom,1.126491,-0.608044,0.055017,0.998485,11
odom,1.125774,-0.608180,-0.005010,0.999987,11
odom,1.125152,-0.608247,-0.064790,0.997899,11
odom,1.124638,-0.608271,-0.124095,0.992270,11
odom,1.124366,-0.608313,-0.191409,0.981510,11
odom,1.144986,-0.618706,-0.265141,0.964210,11
odom,1.179681,-0.643247,-0.337270,0.941408,11
odom,1.223213,-0.684997,-0.406110,0.913824,11
odom,1.269576,-0.744642,-0.470674,0.882307,11
odom,1.313167,-0.820766,-0.530519,0.847673,11
odom,1.349583,-0.910722,-0.585652,0.810563,11
odom,1.375769,-1.011477,-0.636367,0.771387,11
odom,1.389792,-1.120547,-0.683275,0.730161,11
odom,1.390186,-1.236984,-0.727328,0.686290,11
odom,1.375133,-1.360074,-0.769117,0.639108,11
odom,1.344909,-1.479974,-0.807430,0.589963,11
odom,1.302773,-1.593846,-0.833290,0.552837,11
odom,1.257897,-1.693521,-0.846009,0.533169,11
odom,1.210890,-1.790112,-0.849607,0.527416,11
odom,1.167311,-1.880263,-0.844584,0.535423,11
odom,1.110813,-2.017974,-0.815788,0.578351,11
odom,1.085479,-2.096337,-0.801118,0.598507,11
odom,1.065598,-2.168184,-0.790246,0.612789,11
odom,1.050062,-2.233175,-0.779424,0.626497,11
odom,1.041085,-2.282319,-0.755914,0.654671,11
odom,1.036552,-2.319524,-0.740537,0.672016,11

odom,1.133124,-0.602623,0.545680,0.837994,12
odom,1.132588,-0.603551,0.483458,0.875367,12
odom,1.131933,-0.604422,0.424313,0.905515,12
odom,1.131185,-0.605211,0.364568,0.931177,12
odom,1.130368,-0.605897,0.304326,0.952568,12
odom,1.129511,-0.606470,0.243696,0.969852,12
odom,1.128645,-0.606923,0.182795,0.983151,12
odom,1.127798,-0.607260,0.121755,0.992560,12
odom,1.126999,-0.607489,0.060719,0.998155,12
odom,1.126271,-0.607626,-0.000158,1.000000,12
odom,1.125635,-0.607691,-0.060718,0.998155,12
odom,1.125103,-0.607708,-0.120796,0.992677,12
odom,1.124812,-0.607738,-0.188106,0.982149,12
odom,1.144667,-0.617556,-0.261092,0.965314,12
odom,1.178112,-0.640760,-0.332685,0.943038,12
odom,1.220425,-0.680523,-0.401290,0.915951,12
odom,1.265988,-0.737861,-0.465892,0.884842,12
odom,1.309345,-0.811708,-0.525959,0.850510,12
odom,1.346037,-0.899637,-0.581395,0.813622,12
odom,1.372882,-0.998670,-0.632403,0.774640,12
odom,1.387824,-1.105970,-0.679406,0.733763,12
odom,1.389498,-1.220049,-0.723260,0.690576,12
odom,1.376260,-1.341037,-0.764833,0.644229,12
odom,1.348335,-1.459010,-0.802878,0.596144,12
odom,1.308747,-1.570464,-0.830385,0.557190,12
odom,1.261950,-1.676190,-0.845567,0.533869,12
odom,1.214349,-1.773892,-0.850450,0.526056,12
odom,1.170299,-1.863855,-0.846669,0.532120,12
odom,1.130357,-1.952215,-0.833879,0.551948,12
odom,1.099545,-2.033178,-0.812725,0.582648,12
odom,1.075666,-2.109300,-0.799474,0.600701,12
odom,1.056518,-2.179734,-0.789667,0.613536,12
odom,1.042629,-2.243749,-0.767250,0.641348,12
odom,1.035827,-2.287282,-0.752224,0.658907,12
odom,1.032564,-2.315605,-0.740624,0.671920,12

odom,1.132956,-0.602979,0.523992,0.851723,13
odom,1.132394,-0.603889,0.471519,0.881856,13
odom,1.131733,-0.604741,0.417412,0.908717,13
odom,1.130991,-0.605514,0.361808,0.932253,13
odom,1.130188,-0.606191,0.304929,0.952375,13
odom,1.129349,-0.606761,0.247004,0.969015,13
odom,1.128500,-0.607218,0.188265,0.982118,13
odom,1.127670,-0.607563,0.128950,0.991651,13
odom,1.126883,-0.607804,0.069297,0.997596,13
odom,1.126164,-0.607955,0.009543,0.999954,13
odom,1.125530,-0.608033,-0.050071,0.998746,13
odom,1.124998,-0.608063,-0.109309,0.994008,13
odom,1.124701,-0.608100,-0.175427,0.984492,13
odom,1.143861,-0.616934,-0.246893,0.969043,13
odom,1.176225,-0.637940,-0.317165,0.948370,13
odom,1.217616,-0.674256,-0.384783,0.923007,13
odom,1.262947,-0.727151,-0.448755,0.893655,13
odom,1.307100,-0.795977,-0.508506,0.861058,13
odom,1.345742,-0.878709,-0.563857,0.825872,13
odom,1.375663,-0.972669,-0.614926,0.788585,13
odom,1.394716,-1.075024,-0.661984,0.749518,13
odom,1.401591,-1.184086,-0.705774,0.708437,13
odom,1.394942,-1.299928,-0.747248,0.664545,13
odom,1.374190,-1.415661,-0.785632,0.618694,13
odom,1.340302,-1.527354,-0.819863,0.572560,13
odom,1.296294,-1.634415,-0.841059,0.540944,13
odom,1.248116,-1.734901,-0.851213,0.524821,13
odom,1.200114,-1.829975,-0.852128,0.523333,13
odom,1.144954,-1.945566,-0.839244,0.543754,13
odom,1.110582,-2.026463,-0.828562,0.559898,13
odom,1.082676,-2.101146,-0.814356,0.580366,13
odom,1.061253,-2.169776,-0.796441,0.604717,13
odom,1.045659,-2.231991,-0.779894,0.625911,13
odom,1.036895,-2.279921,-0.755471,0.655182,13
odom,1.032564,-2.315605,-0.740624,0.671920,13

odom,1.132757,-0.603348,0.502002,0.864866,14
odom,1.132157,-0.604212,0.442611,0.896714,14
odom,1.131459,-0.605003,0.383973,0.923344,14
odom,1.130688,-0.605703,0.324484,0.945891,14
odom,1.129869,-0.606296,0.264333,0.964431,14
