tf_map_odom_tran_x,tf_map_odom_tran_y,tf_map_odom_tran_z,tf_map_odom_rot_x,tf_map_odom_rot_y,tf_map_odom_rot_z,tf_map_odom_rot_w
-0.031695,-0.164943,0.000000,0.000000,0.000000,0.010405,0.999946
-0.046078,-0.160697,0.000000,0.000000,0.000000,0.011218,0.999937
-0.046078,-0.160697,0.000000,0.000000,0.000000,0.011218,0.999937
-0.046078,-0.160697,0.000000,0.000000,0.000000,0.011218,0.999937
-0.046078,-0.160697,0.000000,0.000000,0.000000,0.011218,0.999937
-0.046078,-0.160697,0.000000,0.000000,0.000000,0.011218,0.999937
-0.057353,-0.161843,0.000000,0.000000,0.000000,0.011963,0.999928
-0.057353,-0.161843,0.000000,0.000000,0.000000,0.011963,0.999928
-0.057353,-0.161843,0.000000,0.000000,0.000000,0.011963,0.999928
-0.057353,-0.161843,0.000000,0.000000,0.000000,0.011963,0.999928
-0.066592,-0.159917,0.000000,0.000000,0.000000,0.012441,0.999923
-0.066592,-0.159917,0.000000,0.000000,0.000000,0.012441,0.999923
-0.066592,-0.159917,0.000000,0.000000,0.000000,0.012441,0.999923
-0.066592,-0.159917,0.000000,0.000000,0.000000,0.012441,0.999923
-0.066592,-0.159917,0.000000,0.000000,0.000000,0.012441,0.999923
-0.052406,-0.160627,0.000000,0.000000,0.000000,0.012533,0.999921
-0.052406,-0.160627,0.000000,0.000000,0.000000,0.012533,0.999921
-0.052406,-0.160627,0.000000,0.000000,0.000000,0.012533,0.999921
-0.052406,-0.160627,0.000000,0.000000,0.000000,0.012533,0.999921
-0.052406,-0.160627,0.000000,0.000000,0.000000,0.012533,0.999921
-0.052406,-0.160627,0.000000,0.000000,0.000000,0.012533,0.999921
-0.029669,-0.163520,0.000000,0.000000,0.000000,0.011132,0.999938
-0.029669,-0.163520,0.000000,0.000000,0.000000,0.011132,0.999938
-0.029669,-0.163520,0.000000,0.000000,0.000000,0.011132,0.999938
-0.029669,-0.163520,0.000000,0.000000,0.000000,0.011132,0.999938
-0.026824,-0.164809,0.000000,0.000000,0.000000,0.011046,0.999939
-0.026824,-0.164809,0.000000,0.000000,0.000000,0.011046,0.999939
-0.026824,-0.164809,0.000000,0.000000,0.000000,0.011046,0.999939
-0.026824,-0.164809,0.000000,0.000000,0.000000,0.011046,0.999939
-0.026824,-0.164809,0.000000,0.000000,0.000000,0.011046,0.999939
-0.040971,-0.161428,0.000000,0.000000,0.000000,0.011967,0.999928
-0.040971,-0.161428,0.000000,0.000000,0.000000,0.011967,0.999928
-0.040971,-0.161428,0.000000,0.000000,0.000000,0.011967,0.999928
-0.040971,-0.161428,0.000000,0.000000,0.000000,0.011967,0.999928
-0.047329,-0.161801,0.000000,0.000000,0.000000,0.012305,0.999924
-0.047329,-0.161801,0.000000,0.000000,0.000000,0.012305,0.999924
-0.047329,-0.161801,0.000000,0.000000,0.000000,0.012305,0.999924
-0.047329,-0.161801,0.000000,0.000000,0.000000,0.012305,0.999924
-0.047329,-0.161801,0.000000,0.000000,0.000000,0.012305,0.999924
-0.047329,-0.161801,0.000000,0.000000,0.000000,0.012305,0.999924
-0.048141,-0.163808,0.000000,0.000000,0.000000,0.012499,0.999922
-0.048141,-0.163808,0.000000,0.000000,0.000000,0.012499,0.999922
-0.048141,-0.163808,0.000000,0.000000,0.000000,0.012499,0.999922
-0.048141,-0.163808,0.000000,0.000000,0.000000,0.012499,0.999922
-0.045110,-0.159368,0.000000,0.000000,0.000000,0.010806,0.999942
-0.045110,-0.159368,0.000000,0.000000,0.000000,0.010806,0.999942
-0.045110,-0.159368,0.000000,0.000000,0.000000,0.010806,0.999942
-0.045110,-0.159368,0.000000,0.000000,0.000000,0.010806,0.999942
-0.045110,-0.159368,0.000000,0.000000,0.000000,0.010806,0.999942
-0.061418,-0.156527,0.000000,0.000000,0.000000,0.011318,0.999936
