frame,plan_position_x,plan_position_y,plan_orientation_z,plan_orientation_w,ID
map,-3.158743,-9.371907,-0.472314,0.881430,2
map,-3.144898,-9.392723,-0.472340,0.881417,2
map,-3.131054,-9.413540,-0.472293,0.881442,2
map,-3.117204,-9.434353,-0.472261,0.881459,2
map,-3.103357,-9.455168,-0.472288,0.881444,2
map,-3.089510,-9.475983,-0.472309,0.881433,2
map,-3.075664,-9.496799,-0.472273,0.881452,2
map,-3.061814,-9.517612,-0.472238,0.881471,2
map,-3.047965,-9.538425,-0.472266,0.881456,2
map,-3.034117,-9.559239,-0.472226,0.881478,2
map,-3.020265,-9.580050,-0.472199,0.881492,2
map,-3.006415,-9.600863,-0.472228,0.881476,2
map,-2.992565,-9.621676,-0.472243,0.881469,2
map,-2.978716,-9.642490,-0.472234,0.881473,2
map,-2.964865,-9.663302,-0.472252,0.881463,2
map,-2.951018,-9.684117,-0.472481,0.881341,2
map,-2.937189,-9.704945,-0.472916,0.881108,2
map,-2.923383,-9.725786,-0.473477,0.880806,2
map,-2.909607,-9.746649,-0.475449,0.879743,2
map,-2.895989,-9.767613,-0.478587,0.878040,2
map,-2.882512,-9.788671,-0.480737,0.876865,2
map,-2.869099,-9.809768,-0.484322,0.874890,2
map,-2.855969,-9.831042,-0.489852,0.871806,2
map,-2.843095,-9.852472,-0.496858,0.867832,2
map,-2.830657,-9.874159,-0.501874,0.864941,2
map,-2.818283,-9.895882,-0.507079,0.861899,2
map,-2.806372,-9.917861,-0.515823,0.856695,2
map,-2.794892,-9.940069,-0.525051,0.851071,2
map,-2.783941,-9.962543,-0.528819,0.848735,2
map,-2.772856,-9.984952,-0.532239,0.846594,2
map,-2.762270,-10.007600,-0.542498,0.840057,2
map,-2.752289,-10.030521,-0.552805,0.833311,2
map,-2.742831,-10.053663,-0.561611,0.827401,2
map,-2.733830,-10.076986,-0.569198,0.822201,2
map,-2.725230,-10.100461,-0.567465,0.823398,2
map,-2.716033,-10.123708,-0.565098,0.825024,2
map,-2.707164,-10.147081,-0.570247,0.821473,2
map,-2.698552,-10.170551,-0.574454,0.818537,2
map,-2.690164,-10.194102,-0.577776,0.816195,2
map,-2.681935,-10.217709,-0.573570,0.819156,2
map,-2.673064,-10.241082,-0.569348,0.822097,2
map,-2.664350,-10.264514,-0.571870,0.820344,2
map,-2.655768,-10.287995,-0.573858,0.818955,2
map,-2.647282,-10.311511,-0.575269,0.817964,2
map,-2.638861,-10.335050,-0.576235,0.817284,2
map,-2.630486,-10.358605,-0.573467,0.819229,2
map,-2.621748,-10.382029,-0.570938,0.820993,2
map,-2.613083,-10.405479,-0.572024,0.820237,2
map,-2.604469,-10.428948,-0.572854,0.819658,2
map,-2.595899,-10.452434,-0.573434,0.819251,2
map,-2.587352,-10.475926,-0.573800,0.818996,2
map,-2.578824,-10.499427,-0.572052,0.820217,2
map,-2.570076,-10.522847,-0.570475,0.821315,2
map,-2.561368,-10.546281,-0.571036,0.820925,2
map,-2.552685,-10.569725,-0.571432,0.820650,2
map,-2.544022,-10.593176,-0.571699,0.820463,2
map,-2.535368,-10.616631,-0.571831,0.820372,2
map,-2.526721,-10.640087,-0.570643,0.821198,2
map,-2.517932,-10.663491,-0.569588,0.821931,2
map,-2.509164,-10.686903,-0.569897,0.821716,2
map,-2.500410,-10.710320,-0.570104,0.821573,2
map,-2.491665,-10.733742,-0.570225,0.821488,2
map,-2.482926,-10.757164,-0.571733,0.820440,2
map,-2.474353,-10.780648,-0.572999,0.819556,2
map,-2.465759,-10.804125,-0.572527,0.819886,2
map,-2.457132,-10.827589,-0.571934,0.820300,2
map,-2.448469,-10.851040,-0.571215,0.820801,2
map,-2.439761,-10.874475,-0.570376,0.821384,2
map,-2.431002,-10.897890,-0.578791,0.815476,2
map,-2.423265,-10.921662,-0.585888,0.810392,2
map,-2.415329,-10.945370,-0.582308,0.812968,2
map,-2.407173,-10.969002,-0.578331,0.815803,2
map,-2.398776,-10.992549,-0.573941,0.818897,2
map,-2.390114,-11.016001,-0.569108,0.822263,2
map,-2.381165,-11.039344,-0.579402,0.815042,2
map,-2.373693,-11.063201,-0.587849,0.808970,2
map,-2.365722,-11.086897,-0.578794,0.815474,2
map,-2.357194,-11.110397,-0.568584,0.822625,2
map,-2.348052,-11.133666,-0.556941,0.830552,2
map,-2.338215,-11.156649,-0.543687,0.839288,2
map,-2.327615,-11.179291,-0.548879,0.835902,2
map,-2.318350,-11.202510,-0.550763,0.834661,2
