tf_map_odom_tran_x,tf_map_odom_tran_y,tf_map_odom_tran_z,tf_map_odom_rot_x,tf_map_odom_rot_y,tf_map_odom_rot_z,tf_map_odom_rot_w
-0.012932,-0.152282,0.000000,0.000000,0.000000,0.006642,0.999978
-0.012932,-0.152282,0.000000,0.000000,0.000000,0.006642,0.999978
-0.012932,-0.152282,0.000000,0.000000,0.000000,0.006642,0.999978
-0.012932,-0.152282,0.000000,0.000000,0.000000,0.006642,0.999978
-0.012932,-0.152282,0.000000,0.000000,0.000000,0.006642,0.999978
-0.026493,-0.147234,0.000000,0.000000,0.000000,0.007517,0.999972
-0.026493,-0.147234,0.000000,0.000000,0.000000,0.007517,0.999972
-0.026493,-0.147234,0.000000,0.000000,0.000000,0.007517,0.999972
-0.026493,-0.147234,0.000000,0.000000,0.000000,0.007517,0.999972
-0.026493,-0.147234,0.000000,0.000000,0.000000,0.007517,0.999972
-0.026291,-0.144993,0.000000,0.000000,0.000000,0.007564,0.999971
-0.026291,-0.144993,0.000000,0.000000,0.000000,0.007564,0.999971
-0.026291,-0.144993,0.000000,0.000000,0.000000,0.007564,0.999971
-0.026291,-0.144993,0.000000,0.000000,0.000000,0.007564,0.999971
-0.041442,-0.142356,0.000000,0.000000,0.000000,0.007870,0.999969
-0.041442,-0.142356,0.000000,0.000000,0.000000,0.007870,0.999969
-0.041442,-0.142356,0.000000,0.000000,0.000000,0.007870,0.999969
-0.041442,-0.142356,0.000000,0.000000,0.000000,0.007870,0.999969
-0.053131,-0.139281,0.000000,0.000000,0.000000,0.008198,0.999966
-0.053131,-0.139281,0.000000,0.000000,0.000000,0.008198,0.999966
-0.053131,-0.139281,0.000000,0.000000,0.000000,0.008198,0.999966
-0.053131,-0.139281,0.000000,0.000000,0.000000,0.008198,0.999966
-0.034170,-0.139636,0.000000,0.000000,0.000000,0.007082,0.999975
-0.034170,-0.139636,0.000000,0.000000,0.000000,0.007082,0.999975
-0.034170,-0.139636,0.000000,0.000000,0.000000,0.007082,0.999975
-0.034170,-0.139636,0.000000,0.000000,0.000000,0.007082,0.999975
0.019042,-0.135569,0.000000,0.000000,0.000000,0.004659,0.999989
0.019042,-0.135569,0.000000,0.000000,0.000000,0.004659,0.999989
0.019042,-0.135569,0.000000,0.000000,0.000000,0.004659,0.999989
0.019042,-0.135569,0.000000,0.000000,0.000000,0.004659,0.999989
-0.007110,-0.121092,0.000000,0.000000,0.000000,0.005458,0.999985
-0.007110,-0.121092,0.000000,0.000000,0.000000,0.005458,0.999985
-0.007110,-0.121092,0.000000,0.000000,0.000000,0.005458,0.999985
-0.007110,-0.121092,0.000000,0.000000,0.000000,0.005458,0.999985
-0.030394,-0.123466,0.000000,0.000000,0.000000,0.006595,0.999978
-0.030394,-0.123466,0.000000,0.000000,0.000000,0.006595,0.999978
-0.030394,-0.123466,0.000000,0.000000,0.000000,0.006595,0.999978
-0.030394,-0.123466,0.000000,0.000000,0.000000,0.006595,0.999978
